objectid,parentid,display_template,title,creator,location_of_origin,creator_photographer,date,source,date_earliest,date_latest,objectt_ht,object_wd,object_mm,object_sm,description,subject,description_provenance,object_location,image_small,image_thumb,format_size,format
w_109833_2,w_109833,,Verso (Courtesan),,,,,,,,,,,,,,,/objects/109833_2_45942541.jpg,/objects/small/109833_2_45942541.jpg,/objects/thumb/109833_2_45942541.jpg,77 KB,JPG
w_109659,,compound_object,Poet between Vice & Virtue,"Veronese, Paolo (Artist; visual artist) 1528--1588",Venetian,,1528-1588,,1528,1588,,,,,"A man stands between two women in dresses, each pulling him in opposite directions. One woman has her back to the viewer, and a sphinx and dagger are hidden behind her skirt. A stone statue of a woman looks down from the upper left corner, and in the upper right is a tree with green foliage. A blue sky with white clouds stretches over the scene.",man; woman; mythology,"Ravolta Barme von Zur Muehler, London (owner); Edith von Zur Muehler, Ponte a Moriano, Lucca (owner) ",,,,,
w_109659_1,w_109659,,Front (Poet between Vice & Virtue),,,,,,,,,,,,,,,/objects/109659_1_45942255.jpg,/objects/small/109659_1_45942255.jpg,/objects/thumb/109659_1_45942255.jpg,245 KB,JPG
w_109659_2,w_109659,,Verso (Poet between Vice & Virtue),,,,,,,,,,,,,,,/objects/109659_2_45942256.jpg,/objects/small/109659_2_45942256.jpg,/objects/thumb/109659_2_45942256.jpg,126 KB,JPG
w_109644,,compound_object,Portrait of a Venetian General,"Veronese, Paolo (Artist; visual artist) 1528--1588",Venetian,,1528-1588,,1528,1588,199.5 cm (78 1/2 inches),119 cm (46 7/8 inches),,Canvas,"Portrait of a Venetian General standing contrapposto with a sword at his waistband, leaning on a cloaked pedestal that holds up his helmet.",man; portrait; Venice (Italy); armor,"The 12th Duke of Hamilton, Hamilton Palace (owner); Christie Sale, June 24, 1882 lot 411 as Giorgione (auctioned); The 6th Earl of Rosebery, Mentmore (owner); Christie Sale, May 5, 1939 lot 45 as Giorgione (auctioned); Koetser (owner); Madame K.L. (owner); Gal. Charpentier Sale, Paris, Nov 30, 1954 lot 34 (auctioned); Wildenstein (owner); Frederick W. Field, Greenacres, Beverly Hills (owner); Christie Sale, London, July 5, 1991 lot 4. (auctioned)",,,,,
w_109644_1,w_109644,,Front (Portrait of a Venetian General),,,,,"Ph. Sent by Wildenstein, Dec. 1957",,,,,,,,,,/objects/109644_1_45942227.jpg,/objects/small/109644_1_45942227.jpg,/objects/thumb/109644_1_45942227.jpg,183 KB,JPG
w_109644_2,w_109644,,Verso (Portrait of a Venetian General),,,,,,,,,,,,,,,/objects/109644_2_45942228.jpg,/objects/small/109644_2_45942228.jpg,/objects/thumb/109644_2_45942228.jpg,71 KB,JPG
w_109689,,compound_object,Venus & Adonis,"Veronese, Paolo (Artist; visual artist) 1528--1588",Venetian,,1528-1588,,1528,1588,,,,,"Adonis holding Venus by her breast as she falls backward over him, with Cupid peeking from under her. Adonis holds onto a rope in his other hand coming from three dogs.",Venus; Adonis; Cupid; mythology,Private Coll.,,,,,
w_109689_1,w_109689,,Front (Venus & Adonis),,,,,"Pallucchini, Acropoli, 1963 pp. 293-303, repr. in color",,,,,,,,,,/objects/109689_1_45942299.jpg,/objects/small/109689_1_45942299.jpg,/objects/thumb/109689_1_45942299.jpg,160 KB,JPG
w_109689_2,w_109689,,Verso (Venus & Adonis),,,,,,,,,,,,,,,/objects/109689_2_45942300.jpg,/objects/small/109689_2_45942300.jpg,/objects/thumb/109689_2_45942300.jpg,52 KB,JPG
w_110164,,compound_object,Madonna with Infant John,"Bassano, Jacopo (Artist; visual artist) 1510--1592",Venetian,,1510-1592,,1510,1592,77 cm (29 1/2 inches),88 cm (33 1/2 inches),,Canvas,"Madonna and child seated, with Madonna with attention towards an Infant John holding a staff.",Mary; Saint John the Baptist,"Earl of Carlisle (owner); Ct. Contini. Edenbridge (Kent) Archibald Werner (owner); Sotheby Sale, March 27, 1968 lot 27 (auctioned); The New Gallery, 1894-5 (exhibited); Agnew's, June 1952 (no. 2) (exhibited); Venice 1957 n.52 (exhibited)",,,,,
w_110164_1,w_110164,,Front (Madonna with Infant John),,,,,Boll'd'Arte. VIII. 1929 (2). pp. 407-413. Arslan. fig. 27. I.p.167,,,,,,,,,,/objects/110164_1_45936377.jpg,/objects/small/110164_1_45936377.jpg,/objects/thumb/110164_1_45936377.jpg,235 KB,JPG
w_110164_2,w_110164,,Verso (Madonna with Infant John),,,,,,,,,,,,,,,/objects/110164_2_45936378.jpg,/objects/small/110164_2_45936378.jpg,/objects/thumb/110164_2_45936378.jpg,166 KB,JPG
w_110165,,compound_object,Madonna & Child & St John,"Bassano, Jacopo (Artist; visual artist) 1510--1592",Venetian,,1510-1592,,1510,1592,77 cm (29 1/2 inches),88 cm (33 1/2 inches),,Canvas,"Madonna and child seated, with Madonna with attention towards an Infant John holding a staff.",Mary; Saint John the Baptist,"Lord Carlisle, Castle Howard (owner); Hon. Geoffrey W. A. Howard 1944 (owner); Edenbridge (Kent). Archibald Werner. Sotheby Sale, March 27, 1968 lot 27 (auctioned); Venice 1957 n. 52 (exhibited)",,,,,
w_110165_1,w_110165,,Front (Madonna & Child & St John),,,A.C. Cooper Ltd. (Photographer),,,,,,,,,,,,/objects/110165_1_45936379.jpg,/objects/small/110165_1_45936379.jpg,/objects/thumb/110165_1_45936379.jpg,225 KB,JPG
w_110165_2,w_110165,,Verso (Madonna & Child & St John),,,,,,,,,,,,,,,/objects/110165_2_45936380.jpg,/objects/small/110165_2_45936380.jpg,/objects/thumb/110165_2_45936380.jpg,180 KB,JPG
w_110544,,compound_object,Resurrection,"Tintoretto, Jacopo (Artist; visual artist) 1519--1594",Venetian,,1519-1594,,1519,1594,190 1/2 cm (75 inches),146 cm (57 1/2 inches),,,"Jesus Christ ressurrects, floating above three men laying in wait around a tomb.",Jesus Christ; resurrection; tomb,"Da Mula, 1861 (owner); William Graham, 1886 (owner); Charles Butler, 1911 (owner); M. von Nemes (owner); Dr. Alsburg Coll. Berlin (owner); Daly Coll., 1925. Sold at Sotheby 8.12.50 for 1400 guineas (auctioned); Sotheby Sale, April 1967 lot 39 (auctioned)",,,,,
w_110544_1,w_110544,,Front (Resurrection),,,,,"Catalogue of Nemes Sale, Paris 1913. Photo sent by Wildenstein 24.11.50.",,,,,,,,,,/objects/110544_1_45951439.jpg,/objects/small/110544_1_45951439.jpg,/objects/thumb/110544_1_45951439.jpg,228 KB,JPG
w_110544_2,w_110544,,Verso (Resurrection),,,,,,,,,,,,,,,/objects/110544_2_45951440.jpg,/objects/small/110544_2_45951440.jpg,/objects/thumb/110544_2_45951440.jpg,102 KB,JPG
